"block_id","record_id"
"1","febrl3-rec-1496-org"
"1","febrl3-rec-638-org"
"2","febrl3-rec-1496-org"
"2","febrl3-rec-1607-org"
"3","febrl3-rec-1496-org"
"3","febrl3-rec-1607-dup-0"
"4","febrl3-rec-1496-org"
"4","febrl3-rec-638-dup-0"
"5","febrl3-rec-1496-org"
"5","febrl3-rec-638-dup-2"
"6","febrl3-rec-1496-org"
"6","febrl3-rec-1607-dup-1"
"7","febrl3-rec-1496-org"
"7","febrl3-rec-638-dup-1"
"8","febrl3-rec-552-dup-3"
"8","febrl3-rec-552-org"
"9","febrl3-rec-988-dup-1"
"9","febrl3-rec-988-org"
"10","febrl3-rec-1716-dup-1"
"10","febrl3-rec-1716-dup-2"
"11","febrl3-rec-1716-dup-1"
"11","febrl3-rec-1716-org"
"12","febrl3-rec-1213-org"
"12","febrl3-rec-564-org"
"13","febrl3-rec-193-org"
"13","febrl3-rec-892-org"
"14","febrl3-rec-193-org"
"14","febrl3-rec-556-org"
"15","febrl3-rec-193-org"
"15","febrl3-rec-892-dup-0"
"16","febrl3-rec-264-dup-0"
"16","febrl3-rec-264-org"
"17","febrl3-rec-264-dup-0"
"17","febrl3-rec-264-dup-1"
"18","febrl3-rec-264-dup-0"
"18","febrl3-rec-272-dup-1"
"19","febrl3-rec-264-dup-0"
"19","febrl3-rec-681-org"
"20","febrl3-rec-264-dup-0"
"20","febrl3-rec-821-dup-0"
"21","febrl3-rec-1695-dup-3"
"21","febrl3-rec-1695-org"
"22","febrl3-rec-875-dup-0"
"22","febrl3-rec-875-org"
"23","febrl3-rec-1778-dup-1"
"23","febrl3-rec-1778-org"
"24","febrl3-rec-1778-dup-1"
"24","febrl3-rec-68-org"
"25","febrl3-rec-1778-dup-1"
"25","febrl3-rec-68-dup-1"
"26","febrl3-rec-1778-dup-1"
"26","febrl3-rec-68-dup-2"
"27","febrl3-rec-1778-dup-1"
"27","febrl3-rec-68-dup-0"
"28","febrl3-rec-1696-dup-1"
"28","febrl3-rec-520-dup-0"
"29","febrl3-rec-1696-dup-1"
"29","febrl3-rec-520-org"
"30","febrl3-rec-1696-dup-1"
"30","febrl3-rec-1696-org"
"31","febrl3-rec-382-dup-0"
"31","febrl3-rec-824-dup-0"
"32","febrl3-rec-382-dup-0"
"32","febrl3-rec-830-org"
"33","febrl3-rec-382-dup-0"
"33","febrl3-rec-382-org"
"34","febrl3-rec-382-dup-0"
"34","febrl3-rec-824-org"
"35","febrl3-rec-382-dup-0"
"35","febrl3-rec-830-dup-0"
"36","febrl3-rec-382-dup-0"
"36","febrl3-rec-382-dup-1"
"37","febrl3-rec-382-dup-0"
"37","febrl3-rec-58-org"
"38","febrl3-rec-382-dup-0"
"38","febrl3-rec-824-dup-1"
"39","febrl3-rec-382-dup-0"
"39","febrl3-rec-824-dup-2"
"40","febrl3-rec-382-dup-0"
"40","febrl3-rec-830-dup-2"
"41","febrl3-rec-382-dup-0"
"41","febrl3-rec-58-dup-1"
"42","febrl3-rec-382-dup-0"
"42","febrl3-rec-830-dup-1"
"43","febrl3-rec-382-dup-0"
"43","febrl3-rec-58-dup-0"
"44","febrl3-rec-442-dup-0"
"44","febrl3-rec-442-org"
"45","febrl3-rec-442-dup-0"
"45","febrl3-rec-803-org"
"46","febrl3-rec-442-dup-0"
"46","febrl3-rec-803-dup-0"
"47","febrl3-rec-442-dup-0"
"47","febrl3-rec-803-dup-1"
"48","febrl3-rec-442-dup-0"
"48","febrl3-rec-803-dup-2"
"49","febrl3-rec-1671-dup-0"
"49","febrl3-rec-1671-org"
"50","febrl3-rec-1671-dup-0"
"50","febrl3-rec-752-org"
"51","febrl3-rec-1671-dup-0"
"51","febrl3-rec-1671-dup-3"
"52","febrl3-rec-1671-dup-0"
"52","febrl3-rec-1671-dup-1"
"53","febrl3-rec-1671-dup-0"
"53","febrl3-rec-1671-dup-2"
"54","febrl3-rec-1816-dup-1"
"54","febrl3-rec-482-dup-4"
"55","febrl3-rec-1816-dup-1"
"55","febrl3-rec-482-org"
"56","febrl3-rec-1816-dup-1"
"56","febrl3-rec-482-dup-1"
"57","febrl3-rec-1816-dup-1"
"57","febrl3-rec-482-dup-0"
"58","febrl3-rec-1816-dup-1"
"58","febrl3-rec-1816-org"
"59","febrl3-rec-1816-dup-1"
"59","febrl3-rec-781-org"
"60","febrl3-rec-1816-dup-1"
"60","febrl3-rec-379-org"
"61","febrl3-rec-1816-dup-1"
"61","febrl3-rec-482-dup-3"
"62","febrl3-rec-459-dup-4"
"62","febrl3-rec-459-org"
"63","febrl3-rec-1881-dup-1"
"63","febrl3-rec-1881-org"
"64","febrl3-rec-575-dup-1"
"64","febrl3-rec-575-dup-3"
"65","febrl3-rec-575-dup-1"
"65","febrl3-rec-575-dup-2"
"66","febrl3-rec-575-dup-1"
"66","febrl3-rec-973-org"
"67","febrl3-rec-575-dup-1"
"67","febrl3-rec-575-org"
"68","febrl3-rec-292-dup-0"
"68","febrl3-rec-292-org"
"69","febrl3-rec-834-dup-0"
"69","febrl3-rec-834-dup-1"
"70","febrl3-rec-834-dup-0"
"70","febrl3-rec-834-org"
"71","febrl3-rec-834-dup-0"
"71","febrl3-rec-994-org"
"72","febrl3-rec-1943-dup-0"
"72","febrl3-rec-723-dup-1"
"73","febrl3-rec-1943-dup-0"
"73","febrl3-rec-723-org"
"74","febrl3-rec-1943-dup-0"
"74","febrl3-rec-777-org"
"75","febrl3-rec-1943-dup-0"
"75","febrl3-rec-723-dup-0"
"76","febrl3-rec-1943-dup-0"
"76","febrl3-rec-723-dup-2"
"77","febrl3-rec-1943-dup-0"
"77","febrl3-rec-1943-org"
"78","febrl3-rec-1943-dup-0"
"78","febrl3-rec-777-dup-0"
"79","febrl3-rec-1611-dup-0"
"79","febrl3-rec-577-dup-2"
"80","febrl3-rec-1611-dup-0"
"80","febrl3-rec-577-dup-1"
"81","febrl3-rec-1611-dup-0"
"81","febrl3-rec-1611-dup-1"
"82","febrl3-rec-1611-dup-0"
"82","febrl3-rec-1611-org"
"83","febrl3-rec-1611-dup-0"
"83","febrl3-rec-577-org"
"84","febrl3-rec-1611-dup-0"
"84","febrl3-rec-577-dup-0"
"85","febrl3-rec-1611-dup-0"
"85","febrl3-rec-1611-dup-2"
"86","febrl3-rec-1706-dup-2"
"86","febrl3-rec-1706-org"
"87","febrl3-rec-1706-dup-2"
"87","febrl3-rec-66-org"
"88","febrl3-rec-1706-dup-2"
"88","febrl3-rec-66-dup-0"
"89","febrl3-rec-1706-dup-2"
"89","febrl3-rec-66-dup-2"
"90","febrl3-rec-1706-dup-2"
"90","febrl3-rec-66-dup-1"
"91","febrl3-rec-1626-org"
"91","febrl3-rec-1880-dup-2"
"92","febrl3-rec-1626-org"
"92","febrl3-rec-294-org"
"93","febrl3-rec-1626-org"
"93","febrl3-rec-1880-dup-3"
"94","febrl3-rec-1626-org"
"94","febrl3-rec-1880-dup-0"
"95","febrl3-rec-1626-org"
"95","febrl3-rec-1880-dup-1"
"96","febrl3-rec-1626-org"
"96","febrl3-rec-1880-org"
"97","febrl3-rec-1626-org"
"97","febrl3-rec-294-dup-0"
"98","febrl3-rec-408-dup-2"
"98","febrl3-rec-408-org"
"99","febrl3-rec-1224-org"
"99","febrl3-rec-571-org"
"100","febrl3-rec-1224-org"
"100","febrl3-rec-323-org"
"101","febrl3-rec-1224-org"
"101","febrl3-rec-1571-org"
"102","febrl3-rec-1224-org"
"102","febrl3-rec-323-dup-0"
"103","febrl3-rec-1224-org"
"103","febrl3-rec-1571-dup-0"
"104","febrl3-rec-1224-org"
"104","febrl3-rec-571-dup-1"
"105","febrl3-rec-1224-org"
"105","febrl3-rec-1571-dup-1"
"106","febrl3-rec-1224-org"
"106","febrl3-rec-571-dup-0"
"107","febrl3-rec-1561-dup-2"
"107","febrl3-rec-198-org"
"108","febrl3-rec-1561-dup-2"
"108","febrl3-rec-1561-dup-4"
"109","febrl3-rec-1561-dup-2"
"109","febrl3-rec-1561-dup-3"
"110","febrl3-rec-1561-dup-2"
"110","febrl3-rec-1561-org"
"111","febrl3-rec-1561-dup-2"
"111","febrl3-rec-165-dup-0"
"112","febrl3-rec-1723-dup-1"
"112","febrl3-rec-1723-org"
"113","febrl3-rec-1723-dup-1"
"113","febrl3-rec-868-org"
"114","febrl3-rec-1723-dup-1"
"114","febrl3-rec-1723-dup-2"
"115","febrl3-rec-1723-org"
"115","febrl3-rec-868-org"
"116","febrl3-rec-182-org"
"116","febrl3-rec-219-dup-4"
"117","febrl3-rec-182-org"
"117","febrl3-rec-219-dup-1"
"118","febrl3-rec-182-org"
"118","febrl3-rec-219-dup-3"
"119","febrl3-rec-182-org"
"119","febrl3-rec-219-dup-0"
"120","febrl3-rec-182-org"
"120","febrl3-rec-219-org"
"121","febrl3-rec-182-org"
"121","febrl3-rec-219-dup-2"
"122","febrl3-rec-1690-dup-2"
"122","febrl3-rec-380-dup-4"
"123","febrl3-rec-1690-dup-2"
"123","febrl3-rec-380-dup-0"
"124","febrl3-rec-1690-dup-2"
"124","febrl3-rec-380-org"
"125","febrl3-rec-1690-dup-2"
"125","febrl3-rec-173-org"
"126","febrl3-rec-1690-dup-2"
"126","febrl3-rec-1690-org"
"127","febrl3-rec-1690-dup-2"
"127","febrl3-rec-380-dup-3"
"128","febrl3-rec-1690-dup-2"
"128","febrl3-rec-380-dup-2"
"129","febrl3-rec-1690-dup-2"
"129","febrl3-rec-380-dup-1"
"130","febrl3-rec-1217-dup-0"
"130","febrl3-rec-826-dup-1"
"131","febrl3-rec-1217-dup-0"
"131","febrl3-rec-1762-org"
"132","febrl3-rec-1217-dup-0"
"132","febrl3-rec-1630-dup-1"
"133","febrl3-rec-1217-dup-0"
"133","febrl3-rec-1630-org"
"134","febrl3-rec-1217-dup-0"
"134","febrl3-rec-1217-org"
"135","febrl3-rec-1217-dup-0"
"135","febrl3-rec-143-dup-3"
"136","febrl3-rec-1217-dup-0"
"136","febrl3-rec-826-dup-3"
"137","febrl3-rec-1217-dup-0"
"137","febrl3-rec-143-dup-1"
"138","febrl3-rec-1217-dup-0"
"138","febrl3-rec-1217-dup-1"
"139","febrl3-rec-1217-dup-0"
"139","febrl3-rec-1217-dup-3"
"140","febrl3-rec-1217-dup-0"
"140","febrl3-rec-143-dup-0"
"141","febrl3-rec-1217-dup-0"
"141","febrl3-rec-826-dup-0"
"142","febrl3-rec-1217-dup-0"
"142","febrl3-rec-143-dup-2"
"143","febrl3-rec-1217-dup-0"
