record id,cluster id,confidence score,cluster type
febrl3-rec-1757-dup-0,febrl3-cl-1,1.0,dup
febrl3-rec-1757-dup-1,febrl3-cl-1,1.0,dup
febrl3-rec-1757-dup-2,febrl3-cl-1,1.0,dup
febrl3-rec-1757-dup-3,febrl3-cl-1,1.0,dup
febrl3-rec-1757-org,febrl3-cl-1,1.0,dup
febrl3-rec-1929-dup-0,febrl3-cl-2,1.0,dup
febrl3-rec-1929-dup-1,febrl3-cl-2,1.0,dup
febrl3-rec-1929-org,febrl3-cl-2,1.0,dup
febrl3-rec-865-dup-0,febrl3-cl-3,1.0,dup
febrl3-rec-865-org,febrl3-cl-3,1.0,dup
febrl3-rec-1211-dup-0,febrl3-cl-4,1.0,dup
febrl3-rec-1211-org,febrl3-cl-4,1.0,dup
febrl3-rec-1699-dup-0,febrl3-cl-5,1.0,dup
febrl3-rec-1699-org,febrl3-cl-5,1.0,dup
febrl3-rec-267-dup-0,febrl3-cl-6,1.0,dup
febrl3-rec-267-dup-1,febrl3-cl-6,1.0,dup
febrl3-rec-267-dup-2,febrl3-cl-6,1.0,dup
febrl3-rec-267-org,febrl3-cl-6,1.0,dup
febrl3-rec-881-dup-0,febrl3-cl-7,1.0,dup
febrl3-rec-881-dup-1,febrl3-cl-7,1.0,dup
febrl3-rec-881-org,febrl3-cl-7,1.0,dup
febrl3-rec-155-dup-0,febrl3-cl-8,1.0,dup
febrl3-rec-155-dup-1,febrl3-cl-8,1.0,dup
febrl3-rec-155-org,febrl3-cl-8,1.0,dup
febrl3-rec-355-dup-0,febrl3-cl-9,1.0,dup
febrl3-rec-355-dup-1,febrl3-cl-9,1.0,dup
febrl3-rec-355-dup-2,febrl3-cl-9,1.0,dup
febrl3-rec-355-org,febrl3-cl-9,1.0,dup
febrl3-rec-1419-dup-0,febrl3-cl-10,1.0,dup
febrl3-rec-1419-dup-1,febrl3-cl-10,1.0,dup
febrl3-rec-1419-dup-2,febrl3-cl-10,1.0,dup
febrl3-rec-1419-org,febrl3-cl-10,1.0,dup
febrl3-rec-1265-dup-0,febrl3-cl-11,1.0,dup
febrl3-rec-1265-dup-1,febrl3-cl-11,1.0,dup
febrl3-rec-1265-org,febrl3-cl-11,1.0,dup
febrl3-rec-1378-dup-0,febrl3-cl-12,1.0,dup
febrl3-rec-1378-org,febrl3-cl-12,1.0,dup
febrl3-rec-1684-dup-0,febrl3-cl-13,1.0,dup
febrl3-rec-1684-dup-1,febrl3-cl-13,1.0,dup
febrl3-rec-1684-dup-2,febrl3-cl-13,1.0,dup
febrl3-rec-1684-dup-3,febrl3-cl-13,0.5527864045000421,dup
febrl3-rec-1684-dup-4,febrl3-cl-13,0.5527864045000421,dup
febrl3-rec-1684-org,febrl3-cl-13,1.0,dup
febrl3-rec-313-dup-0,febrl3-cl-14,1.0,dup
febrl3-rec-313-org,febrl3-cl-14,1.0,dup
febrl3-rec-645-dup-0,febrl3-cl-15,1.0,dup
febrl3-rec-645-dup-1,febrl3-cl-15,1.0,dup
febrl3-rec-645-org,febrl3-cl-15,1.0,dup
febrl3-rec-664-dup-0,febrl3-cl-16,1.0,dup
