"record_set_num","block_id","record_id"
"1","1","febrl4a-rec-1070-org"
"2","1","febrl4b-rec-1070-dup-0"
"1","2","febrl4a-rec-1016-org"
"2","2","febrl4b-rec-1016-dup-0"
"1","3","febrl4a-rec-4405-org"
"2","3","febrl4b-rec-4405-dup-0"
"1","4","febrl4a-rec-1288-org"
"2","4","febrl4b-rec-1288-dup-0"
"1","5","febrl4a-rec-3585-org"
"2","5","febrl4b-rec-3585-dup-0"
"1","6","febrl4a-rec-298-org"
"2","6","febrl4b-rec-298-dup-0"
"1","7","febrl4a-rec-1985-org"
"2","7","febrl4b-rec-1985-dup-0"
"1","8","febrl4a-rec-2404-org"
"2","8","febrl4b-rec-2404-dup-0"
"1","9","febrl4a-rec-1473-org"
"2","9","febrl4b-rec-1473-dup-0"
"1","10","febrl4a-rec-453-org"
"2","10","febrl4b-rec-453-dup-0"
"1","11","febrl4a-rec-4866-org"
"2","11","febrl4b-rec-4866-dup-0"
"1","12","febrl4a-rec-4302-org"
"2","12","febrl4b-rec-4302-dup-0"
"1","13","febrl4a-rec-383-org"
"2","13","febrl4b-rec-383-dup-0"
"1","14","febrl4a-rec-420-org"
"2","14","febrl4b-rec-420-dup-0"
"1","15","febrl4a-rec-3440-org"
"2","15","febrl4b-rec-3440-dup-0"
"1","16","febrl4a-rec-4028-org"
"2","16","febrl4b-rec-4028-dup-0"
"1","17","febrl4a-rec-1363-org"
"2","17","febrl4b-rec-1363-dup-0"
"1","18","febrl4a-rec-4641-org"
"2","18","febrl4b-rec-4641-dup-0"
"1","19","febrl4a-rec-4641-org"
"2","19","febrl4b-rec-65-dup-0"
"1","20","febrl4a-rec-1300-org"
"2","20","febrl4b-rec-1300-dup-0"
"1","21","febrl4a-rec-4178-org"
"2","21","febrl4b-rec-4178-dup-0"
"1","22","febrl4a-rec-4303-org"
"2","22","febrl4b-rec-4303-dup-0"
"1","23","febrl4a-rec-1280-org"
"2","23","febrl4b-rec-1280-dup-0"
"1","24","febrl4a-rec-4137-org"
"2","24","febrl4b-rec-4137-dup-0"
"1","25","febrl4a-rec-1054-org"
"2","25","febrl4b-rec-1054-dup-0"
"1","26","febrl4a-rec-1826-org"
