record id 1,record id 2,label
febrl4a-rec-4751-org,febrl4b-rec-1657-dup-0,distinct
febrl4a-rec-2727-org,febrl4b-rec-3637-dup-0,distinct
febrl4a-rec-1221-org,febrl4b-rec-4758-dup-0,distinct
febrl4a-rec-11-org,febrl4b-rec-3489-dup-0,distinct
febrl4a-rec-4607-org,febrl4b-rec-375-dup-0,distinct
febrl4a-rec-1283-org,febrl4b-rec-2490-dup-0,distinct
febrl4a-rec-4568-org,febrl4b-rec-1862-dup-0,distinct
febrl4a-rec-4440-org,febrl4b-rec-4297-dup-0,distinct
febrl4a-rec-2110-org,febrl4b-rec-280-dup-0,distinct
febrl4a-rec-2820-org,febrl4b-rec-4601-dup-0,distinct
febrl4a-rec-1656-org,febrl4b-rec-3519-dup-0,distinct
febrl4a-rec-2181-org,febrl4b-rec-381-dup-0,distinct
febrl4a-rec-2674-org,febrl4b-rec-4114-dup-0,distinct
febrl4a-rec-4628-org,febrl4b-rec-1173-dup-0,distinct
febrl4a-rec-2241-org,febrl4b-rec-3265-dup-0,distinct
febrl4a-rec-1671-org,febrl4b-rec-4823-dup-0,distinct
febrl4a-rec-0-org,febrl4b-rec-254-dup-0,distinct
febrl4a-rec-4060-org,febrl4b-rec-4183-dup-0,distinct
febrl4a-rec-2329-org,febrl4b-rec-4541-dup-0,distinct
febrl4a-rec-3057-org,febrl4b-rec-557-dup-0,distinct
febrl4a-rec-231-org,febrl4b-rec-4776-dup-0,distinct
febrl4a-rec-380-org,febrl4b-rec-3849-dup-0,distinct
febrl4a-rec-845-org,febrl4b-rec-201-dup-0,distinct
febrl4a-rec-3739-org,febrl4b-rec-2766-dup-0,distinct
febrl4a-rec-3514-org,febrl4b-rec-3496-dup-0,distinct
febrl4a-rec-2898-org,febrl4b-rec-519-dup-0,distinct
febrl4a-rec-1536-org,febrl4b-rec-3834-dup-0,distinct
febrl4a-rec-4277-org,febrl4b-rec-390-dup-0,distinct
febrl4a-rec-2046-org,febrl4b-rec-1377-dup-0,distinct
febrl4a-rec-4399-org,febrl4b-rec-1389-dup-0,distinct
febrl4a-rec-398-org,febrl4b-rec-204-dup-0,distinct
febrl4a-rec-1030-org,febrl4b-rec-2616-dup-0,distinct
febrl4a-rec-871-org,febrl4b-rec-771-dup-0,distinct
febrl4a-rec-3193-org,febrl4b-rec-4164-dup-0,distinct
febrl4a-rec-2841-org,febrl4b-rec-4767-dup-0,distinct
febrl4a-rec-546-org,febrl4b-rec-597-dup-0,distinct
febrl4a-rec-443-org,febrl4b-rec-4805-dup-0,distinct
febrl4a-rec-1941-org,febrl4b-rec-3103-dup-0,distinct
febrl4a-rec-2153-org,febrl4b-rec-847-dup-0,distinct
febrl4a-rec-4620-org,febrl4b-rec-3469-dup-0,distinct
febrl4a-rec-3608-org,febrl4b-rec-3823-dup-0,distinct
febrl4a-rec-873-org,febrl4b-rec-1725-dup-0,distinct
febrl4a-rec-4458-org,febrl4b-rec-1098-dup-0,distinct
febrl4a-rec-4455-org,febrl4b-rec-4009-dup-0,distinct
febrl4a-rec-2117-org,febrl4b-rec-3609-dup-0,distinct
febrl4a-rec-2920-org,febrl4b-rec-1690-dup-0,distinct
febrl4a-rec-3870-org,febrl4b-rec-4256-dup-0,distinct
