record id 1,record id 2,confidence score,link type
febrl4a-rec-999-org,febrl4b-rec-999-dup-0,1.0,dup
febrl4a-rec-998-org,febrl4b-rec-998-dup-0,1.0,dup
febrl4a-rec-997-org,febrl4b-rec-997-dup-0,1.0,dup
febrl4a-rec-996-org,febrl4b-rec-996-dup-0,1.0,dup
febrl4a-rec-995-org,febrl4b-rec-995-dup-0,1.0,dup
febrl4a-rec-994-org,febrl4b-rec-994-dup-0,1.0,dup
febrl4a-rec-993-org,febrl4b-rec-993-dup-0,1.0,dup
febrl4a-rec-991-org,febrl4b-rec-991-dup-0,1.0,dup
febrl4a-rec-990-org,febrl4b-rec-990-dup-0,1.0,dup
febrl4a-rec-99-org,febrl4b-rec-99-dup-0,1.0,dup
febrl4a-rec-989-org,febrl4b-rec-989-dup-0,1.0,dup
febrl4a-rec-988-org,febrl4b-rec-988-dup-0,1.0,dup
febrl4a-rec-987-org,febrl4b-rec-987-dup-0,1.0,dup
febrl4a-rec-986-org,febrl4b-rec-986-dup-0,1.0,dup
febrl4a-rec-985-org,febrl4b-rec-985-dup-0,1.0,dup
febrl4a-rec-984-org,febrl4b-rec-984-dup-0,1.0,dup
febrl4a-rec-983-org,febrl4b-rec-983-dup-0,1.0,dup
febrl4a-rec-982-org,febrl4b-rec-982-dup-0,1.0,dup
febrl4a-rec-981-org,febrl4b-rec-981-dup-0,1.0,dup
febrl4a-rec-980-org,febrl4b-rec-980-dup-0,1.0,dup
febrl4a-rec-98-org,febrl4b-rec-98-dup-0,1.0,dup
febrl4a-rec-979-org,febrl4b-rec-979-dup-0,1.0,dup
febrl4a-rec-978-org,febrl4b-rec-978-dup-0,1.0,dup
febrl4a-rec-977-org,febrl4b-rec-977-dup-0,1.0,dup
febrl4a-rec-976-org,febrl4b-rec-976-dup-0,1.0,dup
febrl4a-rec-975-org,febrl4b-rec-975-dup-0,1.0,dup
febrl4a-rec-974-org,febrl4b-rec-974-dup-0,1.0,dup
febrl4a-rec-973-org,febrl4b-rec-973-dup-0,1.0,dup
febrl4a-rec-972-org,febrl4b-rec-972-dup-0,1.0,dup
febrl4a-rec-971-org,febrl4b-rec-971-dup-0,1.0,dup
